case_id,unit_id,source_id,evidence_layer,donor_class,functional_class,route_eligible,dependency_group,dependency_scheme,collapsed_n_rows,donor_tie,role_tie
sox_genome_atlas,GTDB_R232::GCF_000006985.1:recipient_sulfur_backbone,GTDB_R232,order_distribution,vertical_like,recipient_sulfur_backbone,True,GCF_000006985.1:recipient_sulfur_backbone,genome_dependency_group,1,False,False
sox_genome_atlas,GTDB_R232::GCF_000006985.1:sox_energy_module,GTDB_R232,gene_tree_discordance;order_distribution,vertical_like,sox_energy_module,True,GCF_000006985.1:sox_energy_module,genome_dependency_group,2,False,False
sox_genome_atlas,GTDB_R232::GCF_000008625.1:sox_energy_module,GTDB_R232,order_distribution,vertical_like,sox_energy_module,True,GCF_000008625.1:sox_energy_module,genome_dependency_group,1,False,False
sox_genome_atlas,GTDB_R232::GCF_000011965.2:sox_energy_module,GTDB_R232,gene_tree_discordance,vertical_like,sox_energy_module,True,GCF_000011965.2:sox_energy_module,genome_dependency_group,1,False,False
sox_genome_atlas,GTDB_R232::GCF_000012965.1:sox_energy_module,GTDB_R232,gene_tree_discordance,vertical_like,sox_energy_module,True,GCF_000012965.1:sox_energy_module,genome_dependency_group,2,False,False
sox_genome_atlas,GTDB_R232::GCF_000013885.1:sox_energy_module,GTDB_R232,gene_tree_discordance,hgt_like,sox_energy_module,True,GCF_000013885.1:sox_energy_module,genome_dependency_group,2,False,False
sox_genome_atlas,GTDB_R232::GCF_000014865.1:recipient_sulfur_backbone,GTDB_R232,order_distribution,vertical_like,recipient_sulfur_backbone,True,GCF_000014865.1:recipient_sulfur_backbone,genome_dependency_group,1,False,False
sox_genome_atlas,GTDB_R232::GCF_000014865.1:sox_energy_module,GTDB_R232,gene_tree_discordance;order_distribution,vertical_like,sox_energy_module,True,GCF_000014865.1:sox_energy_module,genome_dependency_group,4,False,False
sox_genome_atlas,GTDB_R232::GCF_000015725.1:sox_energy_module,GTDB_R232,gene_tree_discordance,vertical_like,sox_energy_module,True,GCF_000015725.1:sox_energy_module,genome_dependency_group,1,False,False
sox_genome_atlas,GTDB_R232::GCF_000016345.1:sox_energy_module,GTDB_R232,gene_tree_discordance,vertical_like,sox_energy_module,True,GCF_000016345.1:sox_energy_module,genome_dependency_group,1,False,False
sox_genome_atlas,GTDB_R232::GCF_000018145.1:sox_energy_module,GTDB_R232,gene_tree_discordance,vertical_like,sox_energy_module,True,GCF_000018145.1:sox_energy_module,genome_dependency_group,1,False,False
sox_genome_atlas,GTDB_R232::GCF_000019785.1:sox_energy_module,GTDB_R232,gene_tree_discordance,vertical_like,sox_energy_module,True,GCF_000019785.1:sox_energy_module,genome_dependency_group,1,False,False
sox_genome_atlas,GTDB_R232::GCF_000020505.1:recipient_sulfur_backbone,GTDB_R232,order_distribution,vertical_like,recipient_sulfur_backbone,True,GCF_000020505.1:recipient_sulfur_backbone,genome_dependency_group,1,False,False
sox_genome_atlas,GTDB_R232::GCF_000020505.1:sox_energy_module,GTDB_R232,gene_tree_discordance;order_distribution,vertical_like,sox_energy_module,True,GCF_000020505.1:sox_energy_module,genome_dependency_group,2,False,False
sox_genome_atlas,GTDB_R232::GCF_000020645.1:recipient_sulfur_backbone,GTDB_R232,order_distribution,vertical_like,recipient_sulfur_backbone,True,GCF_000020645.1:recipient_sulfur_backbone,genome_dependency_group,1,False,False
sox_genome_atlas,GTDB_R232::GCF_000020645.1:sox_energy_module,GTDB_R232,gene_tree_discordance;order_distribution,vertical_like,sox_energy_module,True,GCF_000020645.1:sox_energy_module,genome_dependency_group,3,False,False
sox_genome_atlas,GTDB_R232::GCF_000021985.1:sox_energy_module,GTDB_R232,gene_tree_discordance;order_distribution,vertical_like,sox_energy_module,True,GCF_000021985.1:sox_energy_module,genome_dependency_group,5,False,False
sox_genome_atlas,GTDB_R232::GCF_000024425.1:recipient_sulfur_backbone,GTDB_R232,order_distribution,vertical_like,recipient_sulfur_backbone,True,GCF_000024425.1:recipient_sulfur_backbone,genome_dependency_group,1,False,False
sox_genome_atlas,GTDB_R232::GCF_000024425.1:sox_energy_module,GTDB_R232,gene_tree_discordance,vertical_like,sox_energy_module,True,GCF_000024425.1:sox_energy_module,genome_dependency_group,1,False,False
sox_genome_atlas,GTDB_R232::GCF_000024765.1:sox_energy_module,GTDB_R232,gene_tree_discordance;order_distribution,vertical_like,sox_energy_module,True,GCF_000024765.1:sox_energy_module,genome_dependency_group,6,False,False
sox_genome_atlas,GTDB_R232::GCF_000025485.1:recipient_sulfur_backbone,GTDB_R232,order_distribution,vertical_like,recipient_sulfur_backbone,True,GCF_000025485.1:recipient_sulfur_backbone,genome_dependency_group,1,False,False
sox_genome_atlas,GTDB_R232::GCF_000025485.1:sox_energy_module,GTDB_R232,gene_tree_discordance;order_distribution,vertical_like,sox_energy_module,True,GCF_000025485.1:sox_energy_module,genome_dependency_group,4,False,False
sox_genome_atlas,GTDB_R232::GCF_000025605.1:sox_energy_module,GTDB_R232,gene_tree_discordance;order_distribution,vertical_like,sox_energy_module,True,GCF_000025605.1:sox_energy_module,genome_dependency_group,2,False,False
sox_genome_atlas,GTDB_R232::GCF_000025705.1:recipient_sulfur_backbone,GTDB_R232,order_distribution,hgt_like,recipient_sulfur_backbone,True,GCF_000025705.1:recipient_sulfur_backbone,genome_dependency_group,1,False,False
sox_genome_atlas,GTDB_R232::GCF_000025705.1:sox_energy_module,GTDB_R232,gene_tree_discordance,hgt_like,sox_energy_module,True,GCF_000025705.1:sox_energy_module,genome_dependency_group,1,False,False
sox_genome_atlas,GTDB_R232::GCF_000069785.1:sox_energy_module,GTDB_R232,gene_tree_discordance,vertical_like,sox_energy_module,True,GCF_000069785.1:sox_energy_module,genome_dependency_group,1,False,False
sox_genome_atlas,GTDB_R232::GCF_000091545.1:sox_energy_module,GTDB_R232,gene_tree_discordance,vertical_like,sox_energy_module,True,GCF_000091545.1:sox_energy_module,genome_dependency_group,1,False,False
sox_genome_atlas,GTDB_R232::GCF_000092125.1:recipient_sulfur_backbone,GTDB_R232,order_distribution,vertical_like,recipient_sulfur_backbone,True,GCF_000092125.1:recipient_sulfur_backbone,genome_dependency_group,1,False,False
